,X,Y,Z,ID,TOF
0,-0.273,-1.7224,1.7235,1,555
1,-0.1157,-1.6996,1.6648,2,497
2,-0.133,-1.8712,1.6434,0,1249
3,-1.1923,-1.8377,1.2627,1,849
4,-0.9243,-1.7908,0.7334,2,500
5,-0.8445,-1.5397,0.828,0,1254
6,-0.9478,-1.5238,0.7678,1,854
7,-0.9513,-1.5266,0.7753,2,498
8,-0.926,-1.4526,0.8045,0,1241
9,-0.9507,-1.45,0.7895,1,855
10,-0.9457,-1.4474,0.7782,2,504
11,-0.9492,-1.4582,0.7761,0,1247
12,-0.9448,-1.4593,0.7795,1,854
13,-0.9545,-1.466,0.7971,2,497
14,-0.9524,-1.4637,0.7987,0,1246
15,-0.939,-1.4684,0.8072,1,848
16,-0.942,-1.4705,0.8127,2,494
17,-0.9437,-1.4844,0.8068,0,1250
18,-0.9653,-1.4817,0.7936,1,856
19,-0.9748,-1.4869,0.8105,2,489
20,-0.9694,-1.4802,0.8154,0,1250
21,-0.9742,-1.4817,0.8142,1,856
22,-0.9583,-1.4727,0.7826,2,499
23,-0.9514,-1.4563,0.7913,0,1245
24,-0.9507,-1.4564,0.7912,1,854
25,-0.9619,-1.4639,0.8118,2,492
26,-0.961,-1.4637,0.8115,0,1246
27,-0.9742,-1.463,0.805,1,858
28,-0.9681,-1.4592,0.792,2,497
29,-0.9611,-1.4429,0.7991,0,1242
30,-0.9565,-1.4441,0.8012,1,855
31,-0.9519,-1.4417,0.7905,2,501
32,-0.9556,-1.4521,0.787,0,1245
33,-0.9595,-1.4518,0.7861,1,857
34,-0.9603,-1.4529,0.7848,2,500
35,-0.9557,-1.4399,0.7917,0,1241
36,-0.9682,-1.4383,0.7868,1,860
37,-0.9732,-1.4422,0.7954,2,497
38,-0.9706,-1.4417,0.7979,0,1243
39,-0.9565,-1.4447,0.8058,1,854
40,-0.953,-1.4429,0.7993,2,498
41,-0.9598,-1.4685,0.7908,0,1249
42,-0.9624,-1.4694,0.789,1,857
43,-0.9689,-1.4748,0.8021,2,493
44,-0.9621,-1.4545,0.8107,0,1243
45,-0.9683,-1.4553,0.8083,1,856
46,-0.9571,-1.4486,0.7836,2,501
47,-0.9494,-1.4338,0.7898,0,1239
48,-0.9624,-1.433,0.7827,1,859
49,-0.9698,-1.4387,0.7971,2,497
50,-0.9811,-1.4764,0.7862,0,1253
51,-0.9565,-1.4833,0.8017,1,853
52,-0.9527,-1.4814,0.792,2,497
53,-0.9418,-1.4576,0.801,0,1244
54,-0.9595,-1.4553,0.7907,1,856
55,-0.9642,-1.4594,0.8012,2,495
56,-0.9642,-1.4563,0.8041,0,1245
57,-0.9771,-1.456,0.7957,1,860
58,-0.9822,-1.4589,0.805,2,492
59,-0.9833,-1.4703,0.8014,0,1251
60,-0.9653,-1.474,0.8117,1,854
61,-0.9472,-1.4639,0.776,2,503
62,-0.9408,-1.4502,0.7851,0,1243
63,-0.9594,-1.4477,0.7738,1,859
64,-0.9727,-1.456,0.7979,2,495
65,-0.9685,-1.4521,0.7998,0,1245
66,-0.9653,-1.4553,0.8024,1,856
67,-0.9615,-1.4531,0.7924,2,498
68,-0.9641,-1.4642,0.7908,0,1249
69,-0.9624,-1.467,0.7936,1,856
70,-0.9672,-1.4714,0.8038,2,493
71,-0.9589,-1.4576,0.8095,0,1244
72,-0.9477,-1.4615,0.8155,1,850
73,-0.9425,-1.4592,0.8039,2,497
74,-0.9357,-1.4435,0.8123,0,1238
75,-0.9565,-1.4412,0.8012,1,855
76,-0.9623,-1.4451,0.811,2,494
77,-0.9684,-1.4685,0.8037,0,1249
78,-0.9536,-1.4727,0.8138,1,851
79,-0.9354,-1.4612,0.7782,2,504
80,-0.9302,-1.4441,0.7875,0,1241
81,-0.9448,-1.4412,0.7807,1,855
82,-0.9651,-1.4548,0.8181,2,491
83,-0.9642,-1.4606,0.8169,0,1245
84,-0.9771,-1.4601,0.8109,1,858
85,-0.9725,-1.457,0.8008,2,494
86,-0.9685,-1.4563,0.8041,0,1245
87,-0.9536,-1.4604,0.8121,1,852
88,-0.9508,-1.4584,0.8051,2,496
89,-0.9576,-1.4789,0.7971,0,1251
90,-0.9624,-1.4793,0.7953,1,855
91,-0.967,-1.4825,0.8033,2,492
92,-0.961,-1.4637,0.8115,0,1246
93,-0.98,-1.4619,0.8016,1,860
94,-0.9645,-1.4518,0.7708,2,503
95,-0.9599,-1.4478,0.7742,0,1245
96,-0.9419,-1.4511,0.7841,1,853
97,-0.9466,-1.4547,0.7917,2,500
98,-0.9512,-1.4685,0.7866,0,1249
99,-0.9478,-1.4716,0.79,1,853
100,-0.9451,-1.4709,0.7836,2,501
101,-0.9345,-1.4484,0.796,0,1241
102,-0.9419,-1.4487,0.7917,1,852
103,-0.9476,-1.4524,0.8039,2,497
104,-0.9533,-1.4789,0.7928,0,1251
105,-0.9565,-1.4798,0.7912,1,854
106,-0.9576,-1.4806,0.7932,2,496
107,-0.9483,-1.4514,0.8076,0,1242
108,-0.9653,-1.4489,0.7978,1,857
109,-0.9603,-1.4461,0.7865,2,500
110,-0.9537,-1.4338,0.7941,0,1239
111,-0.9595,-1.4342,0.792,1,857
112,-0.9765,-1.4449,0.8239,2,489
113,-0.9897,-1.4807,0.812,0,1253
114,-0.9771,-1.4852,0.8217,1,855
115,-0.9672,-1.4799,0.8004,2,493
116,-0.961,-1.4637,0.8072,0,1246
117,-0.9507,-1.4674,0.8155,1,850
118,-0.9488,-1.4671,0.811,2,494
119,-0.942,-1.4496,0.8184,0,1240
120,-0.9624,-1.447,0.8071,1,855
121,-0.9596,-1.4456,0.8005,2,497
122,-0.9661,-1.4746,0.7928,0,1251
123,-0.9595,-1.4764,0.7953,1,855
124,-0.9579,-1.4763,0.7902,2,497
125,-0.9452,-1.4423,0.8068,0,1239
126,-0.9624,-1.44,0.7978,1,857
127,-0.9571,-1.4365,0.787,2,501
128,-0.9589,-1.4447,0.7839,0,1244
129,-0.9507,-1.447,0.7895,1,855
130,-0.9517,-1.4478,0.7917,2,500
131,-0.9483,-1.4472,0.7948,0,1242
132,-0.9595,-1.4459,0.789,1,857
133,-0.9615,-1.448,0.7941,2,498
134,-0.961,-1.4551,0.7901,0,1246
135,-0.9361,-1.4597,0.8043,1,848
136,-0.9374,-1.4609,0.8056,2,497
137,-0.9345,-1.4526,0.8087,0,1241
138,-0.9565,-1.45,0.7983,1,855
139,-0.9579,-1.4507,0.7988,2,497
140,-0.9578,-1.4502,0.8022,0,1243
141,-0.9595,-1.45,0.8012,1,855
142,-0.9519,-1.4451,0.787,2,501
143,-0.9514,-1.4521,0.787,0,1245
144,-0.9536,-1.4524,0.7848,1,856
145,-0.9492,-1.4491,0.7748,2,504
146,-0.9399,-1.4307,0.7825,0,1238
147,-0.9564,-1.4295,0.7721,1,860
148,-0.9683,-1.4378,0.7941,2,498
149,-0.9664,-1.4295,0.7983,0,1239
150,-7.3552,-0.1646,-2.8866,1,3042
151,-2.9251,-1.5461,1.1414,2,497
152,-2.3414,-0.8517,1.3429,0,1244
153,-1.2214,-1.1628,1.6054,1,858
154,-0.9567,-0.7339,1.241,2,506
155,-1.2371,-1.4053,1.0203,0,1238
156,-1.0973,-1.4324,1.0827,1,855
157,-0.9659,-1.3236,0.822,2,502
158,-1.0048,-1.4411,0.7761,0,1247
159,-0.9536,-1.4511,0.8075,1,853
160,-0.9496,-1.4497,0.7993,2,498
161,-0.9441,-1.435,0.8038,0,1238
162,-0.9595,-1.4342,0.7949,1,857
163,-0.9615,-1.4361,0.7976,2,498
164,-0.9579,-1.4338,0.7983,0,1239
165,-0.9448,-1.4376,0.808,1,851
166,-0.952,-1.4427,0.8207,2,493
167,-0.9598,-1.4771,0.808,0,1249
168,-0.9595,-1.4774,0.8075,1,853
169,-0.9543,-1.4755,0.7966,2,496
170,-0.943,-1.4484,0.8087,0,1241
171,-0.9478,-1.4487,0.8063,1,852
172,-0.9552,-1.4538,0.8202,2,492
173,-0.9505,-1.4496,0.8227,0,1240
174,-0.9683,-1.4465,0.8142,1,856
175,-0.9687,-1.447,0.8151,2,492
176,-0.9727,-1.4563,0.8126,0,1245
177,-0.9742,-1.4577,0.8125,1,857
178,-0.9679,-1.4533,0.7983,2,496
179,-0.9622,-1.4338,0.8068,0,1239
180,-0.9478,-1.4376,0.8167,1,851
181,-0.9503,-1.4393,0.8223,2,493
182,-0.9598,-1.4771,0.808,0,1249
183,-0.9742,-1.4748,0.7991,1,858
184,-0.9784,-1.4776,0.8076,2,490
185,-0.9705,-1.4667,0.8146,0,1247
186,-0.9683,-1.4681,0.8176,1,854
187,-0.9549,-1.459,0.7895,2,499
188,-0.9462,-1.4411,0.7972,0,1240
189,-0.9507,-1.4418,0.797,1,854
190,-0.953,-1.4429,0.7993,2,498
191,-0.9577,-1.4624,0.7932,0,1247
192,-0.9624,-1.4636,0.792,1,857
193,-0.9571,-1.4606,0.7802,2,501
194,-0.9524,-1.4551,0.7815,0,1246
195,-0.939,-1.4581,0.7905,1,851
196,-0.9489,-1.4645,0.808,2,495
197,-0.9471,-1.4649,0.8084,0,1245
198,-0.9565,-1.4657,0.8046,1,853
199,-0.9438,-1.4587,0.7794,2,503
200,-0.948,-1.4716,0.7768,0,1250
201,-0.9448,-1.474,0.7795,1,854
202,-0.9513,-1.4771,0.7907,2,498
