X,Y,Z,ID,TOF
1.0278,-1.2875,2.4597,2,248
0.7945,-0.0735,2.3914,0,718
0.2571,1.2540,2.4949,1,1004
-0.0810,0.7018,2.4529,2,902
-0.2603,-0.0126,2.5372,0,713
-0.8095,0.5717,2.6239,1,1008
-0.6765,0.9458,2.6769,2,898
-1.0698,0.4043,2.8397,0,718
-0.9937,0.3378,2.8204,1,1007
-0.8069,0.9398,2.9680,2,900
-1.1056,0.5718,3.1536,0,715
-0.8780,0.3575,3.0753,1,1002
-0.7003,0.8562,3.2537,2,910
-0.9111,0.5521,3.4563,0,726
-0.7439,0.3850,3.3742,1,1005
-0.6177,0.6948,3.5228,2,906
-0.6991,0.5520,3.6318,0,724
-0.5803,0.4239,3.5586,1,1001
-0.5045,0.5857,3.6455,2,907
-0.5256,0.5374,3.6829,0,716
-0.4765,0.4792,3.6486,1,1004
-0.4554,0.5223,3.6750,2,902
-0.4681,0.4899,3.7013,0,724
-0.4504,0.4699,3.6885,1,1003
-0.4298,0.5110,3.7108,2,907
-0.4326,0.5025,3.7176,0,721
-0.4272,0.4967,3.7115,1,1007
-0.4292,0.4941,3.7106,2,903
-0.4298,0.4875,3.7142,0,723
-0.4189,0.4754,3.7062,1,1001
-0.4166,0.4794,3.7074,2,901
-0.4143,0.4853,3.7032,0,720
-0.4277,0.5050,3.7144,1,1009
-0.4253,0.5106,3.7156,2,908
-0.4214,0.5178,3.7103,0,715
-0.4115,0.5081,3.7031,1,1006
-0.4225,0.4864,3.6888,2,899
-0.4231,0.4855,3.6888,0,719
-0.4361,0.5026,3.6991,1,1008
-0.4354,0.5034,3.6982,2,903
-0.4312,0.5105,3.6931,0,715
-0.4214,0.4998,3.6865,1,1004
-0.4199,0.5034,3.6889,2,903
-0.4294,0.4749,3.7107,0,725
-0.4337,0.4815,3.7120,1,1005
-0.4292,0.4910,3.7168,2,903
-0.4245,0.5028,3.7065,0,718
-0.4140,0.4915,3.6974,1,1002
-0.4137,0.4941,3.6982,2,903
-0.4199,0.4801,3.7092,0,723
-0.4150,0.4740,3.7033,1,999
-0.4106,0.4848,3.7075,2,903
-0.4073,0.4929,3.7016,0,718
-0.4110,0.4998,3.7037,1,1004
-0.4083,0.5102,3.7078,2,909
-0.4056,0.5130,3.7058,0,714
-0.4085,0.5164,3.7095,1,1008
-0.4100,0.5160,3.7094,2,910
-0.4164,0.4950,3.7245,0,722
-0.4071,0.4847,3.7180,1,1002
-0.4135,0.4763,3.7105,2,901
-0.4104,0.4828,3.7052,0,721
-0.4238,0.4967,3.7150,1,1007
-0.4135,0.5151,3.7251,2,912
-0.4164,0.5025,3.7344,0,722
-0.4041,0.4895,3.7244,1,1004
-0.4049,0.4893,3.7233,2,907
-0.3927,0.5183,3.6997,0,711
-0.3923,0.5195,3.7017,1,1005
-0.3930,0.5155,3.6985,2,911
-0.4050,0.4850,3.7216,0,723
-0.4018,0.4823,3.7199,1,1001
-0.3930,0.4999,3.7297,2,911
-0.3911,0.5027,3.7283,0,719
-0.3961,0.5105,3.7322,1,1007
-0.4092,0.4844,3.7153,2,904
-0.4141,0.4723,3.7247,0,727
-0.4121,0.4720,3.7234,1,1001
-0.4078,0.4808,3.7294,2,905
-0.3948,0.5107,3.7038,0,713
-0.3996,0.5174,3.7080,1,1007
-0.4208,0.4807,3.6872,2,898
-0.4185,0.4857,3.6824,0,717
-0.4282,0.4964,3.6865,1,1004
-0.4247,0.5061,3.6905,2,904
-0.4323,0.4850,3.7067,0,723
-0.4356,0.4874,3.7066,1,1006
-0.4309,0.4968,3.7122,2,904
-0.4206,0.5181,3.6944,0,712
-0.4052,0.4994,3.6822,1,1001
-0.4132,0.4864,3.6734,2,899
-0.4188,0.4678,3.6874,0,722
-0.4317,0.4860,3.6968,1,1004
-0.4289,0.4918,3.6981,2,901
-0.4302,0.4877,3.7002,0,721
-0.4361,0.4957,3.7060,1,1008
-0.4298,0.5079,3.7139,2,907
-0.4305,0.5076,3.7135,0,719
-0.4199,0.4953,3.7051,1,1005
-0.4174,0.5048,3.7108,2,907
-0.4234,0.4875,3.7236,0,724
-0.4218,0.4874,3.7238,1,1006
-0.4202,0.4901,3.7232,2,905
-0.4115,0.5105,3.7054,0,715
-0.4037,0.4984,3.6974,1,1002
-0.4147,0.4776,3.6841,2,898
-0.4174,0.4652,3.6919,0,723
-0.4356,0.4874,3.7066,1,1006
-0.4239,0.5102,3.7203,2,909
-0.4284,0.4974,3.7311,0,724
-0.4199,0.4850,3.7224,1,1005
-0.4244,0.4790,3.7183,2,902
-0.4171,0.4979,3.7041,0,718
-0.4223,0.5060,3.7095,1,1008
-0.4292,0.4972,3.7044,2,903
-0.4249,0.5055,3.6976,0,716
-0.4179,0.4998,3.6934,1,1004
-0.4228,0.4949,3.6889,2,901
-0.4266,0.4853,3.6958,0,720
-0.4282,0.4895,3.6968,1,1004
-0.4289,0.4918,3.6981,2,901
-0.4302,0.4877,3.7002,0,721
-0.4263,0.4836,3.6988,1,1003
-0.4329,0.4753,3.6932,2,896
-0.4312,0.4752,3.6923,0,722
-0.4386,0.4826,3.6968,1,1004
-0.4295,0.5025,3.7076,2,905
-0.4333,0.4875,3.7187,0,724
-0.4381,0.4911,3.7213,1,1009
-0.4329,0.5017,3.7264,2,907
-0.4238,0.5203,3.7103,0,715
-0.4071,0.4984,3.6974,1,1002
-0.4049,0.5048,3.7015,2,907
-0.4135,0.4800,3.7187,0,724
-0.4101,0.4764,3.7150,1,1000
-0.4106,0.4786,3.7168,2,903
-0.4007,0.5032,3.6960,0,714
-0.4003,0.5019,3.6939,2,1002
-0.4079,0.4828,3.7077,0,721
-0.4164,0.4953,3.7120,1,1005
-0.4171,0.4963,3.7107,2,905
-0.4199,0.4875,3.7191,0,723
-0.4238,0.4933,3.7219,1,1007
-0.4247,0.4906,3.7184,2,904
-0.4217,0.4977,3.7131,0,720
-0.4218,0.4978,3.7100,1,1006
-0.4219,0.5021,3.7123,2,906
-0.4238,0.4950,3.7196,0,722
-0.4140,0.4812,3.7111,1,1002
-0.4010,0.5088,3.7251,2,912
-0.4030,0.5001,3.7324,0,721
-0.3934,0.4881,3.7248,1,1002
-0.3956,0.4861,3.7233,2,907
-0.3830,0.5134,3.7022,0,711
-0.3927,0.5243,3.7080,1,1007
-0.4004,0.5075,3.6969,2,908
-0.4048,0.4954,3.7065,0,718
-0.4154,0.5095,3.7130,1,1008
-0.4216,0.4968,3.7060,2,904
-0.4175,0.5030,3.7001,0,716
-0.4125,0.4974,3.6954,2,1003
-0.4230,0.4724,3.7152,0,726
-0.4204,0.4696,3.7116,1,1000
-0.4208,0.4683,3.7087,2,898
-0.4143,0.4829,3.6982,0,720
-0.4194,0.4905,3.7022,1,1003
-0.4312,0.4726,3.6886,2,895
-0.4280,0.4805,3.6814,0,719
-0.4411,0.4967,3.6908,2,1007
-0.4361,0.5056,3.6833,0,715
-0.4258,0.4926,3.6753,1,1001
-0.4270,0.4930,3.6749,2,898
-0.4337,0.4752,3.6899,0,722
-0.4386,0.4826,3.6934,2,1004
-0.4312,0.4982,3.6809,0,715
-0.4238,0.4867,3.6739,1,1000
-0.4267,0.4845,3.6717,2,896
-0.4291,0.4755,3.6785,0,720
-0.4346,0.4812,3.6836,1,1002
-0.4275,0.4976,3.6936,2,902
-0.4280,0.4928,3.6962,0,719
-0.4302,0.4953,3.6948,1,1005
-0.4376,0.4841,3.6887,2,897
-0.4419,0.4725,3.6983,0,725
-0.4395,0.4685,3.6959,1,1001
-0.4303,0.4860,3.7058,2,900
-0.4214,0.5031,3.6907,0,715
-0.4101,0.4901,3.6842,1,1000
-0.4047,0.5025,3.6890,2,905
-0.4118,0.4853,3.7032,0,720
-0.4140,0.4881,3.7042,1,1002
-0.4208,0.4745,3.6964,2,898
-0.4213,0.4752,3.6973,0,722
-0.4243,0.4812,3.7008,1,1002
-0.4157,0.4990,3.7123,2,906
-0.4115,0.5080,3.7054,0,715
-0.4134,0.5105,3.7046,1,1007
-0.4298,0.4784,3.6840,2,896
-0.4270,0.4831,3.6795,0,718
-0.4411,0.5002,3.6873,1,1007
-0.4357,0.5150,3.6952,2,905
-0.4468,0.4874,3.7157,0,725
-0.4391,0.4805,3.7100,1,1006
