X,Y,Z,ID,TOF
6.0035,6.2375,5.9540,2,2921
1.7315,3.3000,3.1678,0,562
1.7045,2.5575,3.0356,2,1329
1.9908,2.6017,3.1969,0,561
1.9780,2.5119,3.1769,1,1329
1.9760,2.5088,3.1745,2,1702
1.9972,2.5103,3.1862,0,558
1.9953,2.4974,3.1794,1,1326
1.9935,2.4971,3.1745,2,1702
1.9861,2.4955,3.1703,0,553
1.9855,2.4952,3.1689,1,1324
1.9899,2.5055,3.1692,2,1703
2.0059,2.5068,3.1783,0,559
2.0037,2.4907,3.1734,1,1324
2.0052,2.4913,3.1687,2,1702
1.9948,2.4901,3.1624,0,554
1.9946,2.4952,3.1598,1,1324
1.9848,2.4867,3.1549,2,1698
1.9907,2.4858,3.1572,0,552
1.9900,2.4952,3.1553,1,1324
1.9935,2.5029,3.1512,2,1702
1.9986,2.5034,3.1529,0,554
1.9939,2.4886,3.1493,1,1322
1.9907,2.4867,3.1491,2,1698
2.0005,2.4863,3.1548,0,554
1.9991,2.4952,3.1553,1,1324
1.9907,2.4867,3.1491,2,1698
2.0246,2.4884,3.1678,0,562
2.0236,2.5074,3.1678,1,1329
1.9943,2.4725,3.1602,2,1697
2.0166,2.4725,3.1722,0,560
2.0187,2.5041,3.1762,1,1328
1.9965,2.4750,3.1666,2,1698
2.0218,2.4771,3.1810,0,563
2.0208,2.4762,3.1804,1,1321
2.0147,2.4712,3.1798,2,1701
1.9978,2.4694,3.1698,0,555
1.9991,2.4907,3.1734,1,1324
2.0211,2.5172,3.1741,2,1712
2.0248,2.5160,3.1749,0,564
2.0208,2.4807,3.1668,1,1321
1.0000,1.0000,1.0000,2,1667
1.0000,1.0000,1.0000,0,555
1.0000,1.0000,1.0000,1,1328
1.0000,1.0000,1.0000,2,1652
0.9754,1.0477,1.0449,0,550
0.7524,2.2262,0.5708,1,1328
3.2477,6.4629,-1.1479,2,3009
1.2390,3.6218,1.1976,0,552
1.2990,2.5405,1.4043,2,1328
1.7376,2.6302,1.0174,0,553
1.7272,2.4630,1.0627,1,1328
4.5006,6.0215,0.1031,2,3006
1.6603,3.5124,1.5700,0,554
1.6406,2.5906,1.6867,1,1328
4.3751,6.3040,1.2187,2,3000
1.6704,3.6497,1.9133,0,555
1.6456,2.6305,1.9772,1,1333
1.6411,2.6251,1.9809,2,1649
2.1834,2.7424,1.8672,0,564
2.1563,2.5746,1.8821,1,1330
1.9913,2.3853,1.8995,2,1659
2.1972,2.3896,1.8555,0,556
2.2207,2.5643,1.8407,1,1331
2.0065,2.3171,1.8680,2,1648
2.1948,2.3152,1.8261,0,557
2.2308,2.5665,1.8035,1,1333
5.0655,5.8024,1.4850,2,3005
1.8816,3.4717,2.0045,0,564
1.8289,2.6373,2.0455,1,1335
1.7458,2.5295,2.0549,2,1645
2.1880,2.5876,1.9933,0,551
2.1841,2.5825,1.9959,1,1331
2.0352,2.4108,2.0058,2,1671
2.2046,2.4176,1.9815,0,552
2.2237,2.5633,1.9737,1,1328
5.0610,5.8178,1.7739,2,3003
1.8662,3.4672,2.1013,0,557
1.8137,2.6134,2.1286,1,1328
4.5975,6.2195,2.0314,2,3003
1.7535,3.6308,2.1830,0,560
1.7134,2.6191,2.1969,2,1327
2.2077,2.7190,2.1775,0,558
2.1858,2.5668,2.1834,1,1325
5.0413,5.8720,2.1342,2,3008
1.8714,3.4945,2.2175,0,561
1.8179,2.6111,2.2243,1,1326
1.7613,2.5349,2.2298,2,1647
2.2220,2.5975,2.2217,0,556
2.2136,2.5656,2.2243,1,1326
2.0459,2.3729,2.2295,2,1663
2.2632,2.3767,2.2270,0,563
2.2954,2.5836,2.2287,1,1334
2.0597,2.3156,2.2353,2,1654
2.2426,2.3133,2.2350,0,557
2.2840,2.5700,2.2379,1,1330
2.0506,2.3053,2.2410,2,1650
2.2460,2.3017,2.2407,0,558
2.2886,2.5700,2.2424,2,1330
2.2379,2.5624,2.2445,0,559
2.2384,2.5792,2.2470,1,1330
2.0583,2.3749,2.2523,2,1666
2.2289,2.3779,2.2522,0,553
2.2556,2.5678,2.2516,1,1328
2.0619,2.3480,2.2523,2,1660
2.2495,2.3477,2.2522,0,559
2.2812,2.5531,2.2515,1,1325
2.0699,2.3150,2.2523,2,1656
2.2220,2.3136,2.2522,0,551
2.2585,2.5577,2.2515,1,1325
2.0563,2.3295,2.2523,2,1655
2.2323,2.3286,2.2522,0,554
2.2676,2.5577,2.2515,2,1325
2.2243,2.5513,2.2522,0,555
2.2222,2.5622,2.2515,1,1325
2.0674,2.3853,2.2523,2,1670
2.2529,2.3899,2.2522,0,560
2.2795,2.5700,2.2516,1,1330
2.1187,2.3880,2.2522,2,1680
2.2700,2.3904,2.2521,0,565
2.2977,2.5700,2.2516,1,1330
2.1063,2.3560,2.2523,2,1672
2.2460,2.3572,2.2522,0,558
2.2795,2.5700,2.2516,1,1330
2.0937,2.3598,2.2523,2,1669
8.0575,2.4250,2.2405,0,2254
5.3302,0.6000,2.2470,1,1328
3.6336,-0.0116,2.2523,2,1653
8.8273,-3.7118,2.2560,0,3042
5.9813,-3.0108,2.2516,0,1332
5.9779,-3.0100,2.2470,1,1331
3.9952,-2.7271,2.2523,2,1676
1.4617,0.7786,2.2560,0,562
1.4079,2.6362,2.2607,1,1332
1.5135,2.7892,2.2580,2,1665
2.1184,3.0182,2.2579,0,557
2.0700,2.6054,2.2561,1,1331
1.9489,2.4584,2.2580,2,1663
2.2319,2.4790,2.2579,0,555
2.2459,2.5690,2.2561,1,1327
2.0585,2.3506,2.2580,2,1661
2.2255,2.3514,2.2579,0,552
